trial,run_seed,problem_size,algorithm,cost_km,runtime_s
12,9,50,Ant Colony Optimization,2859.54,6.6
12,9,50,Lib Optimization,11431.34,0.76
12,9,50,LKH Algorithm,2278.93,0.36
13,0,50,Nearest Neighbor,7647.17,0.0
13,0,50,Ant Colony Optimization,2945.43,6.62
13,0,50,Lib Optimization,11371.07,0.84
13,0,50,LKH Algorithm,2634.84,0.35
13,1,50,Nearest Neighbor,7647.17,0.0
13,1,50,Ant Colony Optimization,2902.6,6.62
13,1,50,Lib Optimization,8936.47,0.85
13,1,50,LKH Algorithm,2634.84,0.35
13,2,50,Nearest Neighbor,7647.17,0.0
13,2,50,Ant Colony Optimization,2949.63,6.59
13,2,50,Lib Optimization,13930.26,0.76
13,2,50,LKH Algorithm,2634.84,0.35
13,3,50,Nearest Neighbor,7647.17,0.0
13,3,50,Ant Colony Optimization,3108.27,6.64
13,3,50,Lib Optimization,12727.69,0.79
13,3,50,LKH Algorithm,2634.84,0.36
13,4,50,Nearest Neighbor,7647.17,0.0
13,4,50,Ant Colony Optimization,3151.37,6.64
13,4,50,Lib Optimization,13101.35,0.61
13,4,50,LKH Algorithm,2634.84,0.35
13,5,50,Nearest Neighbor,7647.17,0.0
13,5,50,Ant Colony Optimization,2926.17,6.63
13,5,50,Lib Optimization,10981.4,0.73
13,5,50,LKH Algorithm,2634.84,0.35
13,6,50,Nearest Neighbor,7647.17,0.0
13,6,50,Ant Colony Optimization,3021.48,6.63
13,6,50,Lib Optimization,9636.73,1.0
13,6,50,LKH Algorithm,2634.84,0.35
13,7,50,Nearest Neighbor,7647.17,0.0
13,7,50,Ant Colony Optimization,3077.92,6.61
13,7,50,Lib Optimization,10751.45,0.65
13,7,50,LKH Algorithm,2634.84,0.35
13,8,50,Nearest Neighbor,7647.17,0.0
13,8,50,Ant Colony Optimization,3073.72,6.61
13,8,50,Lib Optimization,8619.46,0.78
13,8,50,LKH Algorithm,2634.84,0.35
13,9,50,Nearest Neighbor,7647.17,0.0
13,9,50,Ant Colony Optimization,3197.31,6.59
13,9,50,Lib Optimization,8444.81,0.77
13,9,50,LKH Algorithm,2634.84,0.35
14,0,50,Nearest Neighbor,4545.06,0.0
14,0,50,Ant Colony Optimization,3257.19,6.6
14,0,50,Lib Optimization,14332.85,0.41
14,0,50,LKH Algorithm,2315.33,0.35
